,RateCodeID,icon,hour,count
718,3,wind,1,15
719,3,fog,0,3
720,1,,23,111647
721,4,cloudy,17,87
722,6,wind,3,1
723,5,snow,16,468
724,1,fog,4,11704
725,4,cloudy,23,114
726,1,,14,70043
727,4,,10,26
728,1,clear-day,10,958288
729,5,wind,0,1291
730,1,wind,4,17219
731,5,partly-cloudy-day,16,13043
732,5,fog,21,193
733,99,rain,17,2
734,2,snow,3,14
735,99,cloudy,11,2
736,99,clear-night,3,4
737,3,clear-night,22,599
738,1,cloudy,22,158026
739,3,rain,4,91
740,1,snow,19,21948
741,2,snow,22,7
742,99,snow,9,2
743,2,partly-cloudy-day,15,1744
744,4,partly-cloudy-night,6,29
745,3,partly-cloudy-night,20,175
746,2,cloudy,2,174
747,1,wind,22,101243
748,3,wind,7,32
749,1,snow,22,9239
750,6,clear-night,20,17
751,5,partly-cloudy-day,19,3751
752,3,partly-cloudy-night,23,208
753,4,partly-cloudy-day,8,238
754,5,wind,19,3440
755,5,rain,4,1834
756,2,cloudy,19,623
757,4,partly-cloudy-night,4,87
758,6,partly-cloudy-night,0,3
759,2,partly-cloudy-night,17,176
760,4,partly-cloudy-day,11,237
761,2,clear-night,20,2495
762,4,rain,0,61
763,2,wind,8,188
764,1,partly-cloudy-day,12,203437
765,4,rain,7,46
766,6,wind,19,2
767,3,rain,17,127
768,5,fog,10,796
769,99,rain,15,1
770,2,partly-cloudy-day,18,934
771,5,partly-cloudy-night,4,4125
772,2,,20,201
773,4,partly-cloudy-night,7,45
774,4,fog,6,10
775,99,clear-night,21,4
776,6,rain,17,2
777,4,fog,22,14
778,1,clear-day,18,1143778
779,2,fog,8,144
780,6,cloudy,7,4
781,3,snow,17,15
782,4,fog,14,8
783,3,,13,52
784,2,clear-night,4,2107
785,1,clear-night,23,1227625
786,3,cloudy,20,100
787,3,cloudy,7,109
788,6,fog,3,1
789,6,rain,13,2
790,2,partly-cloudy-night,4,541
791,5,snow,19,353
792,5,rain,8,4053
793,6,clear-day,9,60
794,1,wind,3,23248
795,1,clear-night,17,410310
796,1,snow,11,12069
797,3,rain,19,90
798,1,fog,15,23501
799,4,snow,2,2
800,2,partly-cloudy-day,20,644
801,3,partly-cloudy-day,6,51
802,6,fog,6,1
803,5,wind,16,3308
804,5,fog,18,231
805,3,,15,100
806,5,,17,1850
807,2,clear-day,6,1188
808,1,cloudy,11,166945
809,4,snow,8,11
810,1,,12,55876
811,3,fog,20,3
812,3,,5,18
813,2,fog,14,99
814,4,snow,16,9
815,6,cloudy,14,6
816,3,partly-cloudy-night,17,48
817,99,clear-day,13,7
818,4,clear-night,23,567
819,2,snow,21,33
820,5,snow,4,204
821,4,rain,2,53
822,3,,2,7
823,2,partly-cloudy-day,17,3223
824,5,clear-day,7,22242
825,2,wind,19,484
826,2,wind,21,219
827,1,snow,17,23989
828,3,,6,31
829,1,,7,19780
830,4,,11,25
831,3,,4,19
832,3,,0,3
833,4,fog,4,9
834,4,,7,12
835,99,rain,10,1
836,1,fog,8,39274
837,5,partly-cloudy-night,1,4278
838,4,clear-night,7,95
839,1,snow,7,9144
840,4,partly-cloudy-night,5,80
841,99,rain,8,1
842,4,partly-cloudy-night,2,176
843,2,rain,2,132
844,5,fog,12,405
845,4,fog,2,8
846,3,snow,1,3
847,5,cloudy,14,4262
848,2,fog,10,108
849,4,wind,10,20
850,1,clear-day,9,1278947
851,1,wind,19,211055
852,3,cloudy,8,164
853,5,rain,6,2252
854,5,partly-cloudy-day,7,4542
855,6,wind,22,2
856,4,rain,20,64
857,99,clear-day,11,2
858,5,rain,14,2776
859,2,cloudy,1,189
860,1,fog,19,21596
861,1,fog,21,9907
862,3,snow,9,15
863,99,cloudy,1,1
864,3,clear-day,13,1129
865,6,partly-cloudy-day,11,20
866,4,partly-cloudy-day,17,445
867,1,snow,12,13496
868,6,wind,1,1
869,4,partly-cloudy-day,18,107
870,3,partly-cloudy-night,6,81
871,3,snow,2,1
872,3,clear-day,6,301
873,6,rain,0,1
874,2,,12,176
875,6,wind,7,1
876,1,partly-cloudy-night,23,530733
877,5,clear-night,2,13766
878,5,clear-night,3,16434
879,3,snow,15,21
880,2,fog,20,51
881,6,wind,15,9
882,3,partly-cloudy-night,21,75
883,4,snow,12,6
884,5,clear-day,16,22953
885,99,wind,15,4
886,5,fog,19,422
887,3,cloudy,13,131
888,2,snow,19,60
889,5,snow,11,327
890,4,rain,4,30
891,2,,1,33
892,3,clear-day,14,1031
893,5,rain,2,1540
894,2,wind,2,65
895,4,wind,12,36
896,4,,18,45
897,6,rain,16,1
898,4,cloudy,2,63
899,6,partly-cloudy-day,17,24
900,99,clear-day,14,3
901,1,snow,5,3985
902,1,fog,20,14371
903,3,snow,19,14
904,2,partly-cloudy-day,12,843
905,3,partly-cloudy-night,22,175
906,1,,13,59396
907,3,clear-night,1,402
908,99,clear-day,9,10
909,3,partly-cloudy-day,10,319
910,4,rain,3,49
911,3,snow,13,14
912,99,rain,9,2
913,4,partly-cloudy-night,18,22
914,4,,5,11
915,1,clear-day,11,722837
916,5,rain,15,2844
917,99,clear-day,12,4
918,3,wind,18,136
919,2,partly-cloudy-day,7,554
920,1,snow,20,16233
921,99,clear-night,5,3
922,1,clear-night,7,174812
923,2,snow,15,96
924,2,snow,17,80
925,6,rain,23,5
926,6,clear-day,20,4
927,3,fog,23,5
928,5,rain,10,3116
929,1,fog,23,22287
930,4,partly-cloudy-night,21,68
931,4,partly-cloudy-day,6,10
932,99,wind,12,2
933,1,fog,0,11508
934,99,wind,14,1
935,2,partly-cloudy-day,19,605
936,3,partly-cloudy-day,19,110
937,1,partly-cloudy-day,8,463225
938,1,clear-night,2,666191
939,4,clear-day,16,536
940,6,rain,1,7
941,5,rain,5,1859
942,5,wind,20,2519
943,2,fog,6,118
944,2,fog,21,13
945,4,cloudy,4,37
946,3,fog,15,42
947,4,cloudy,8,94
948,1,partly-cloudy-night,6,37800
949,5,wind,15,3993
950,4,cloudy,19,84
951,3,fog,18,12
952,1,fog,6,11182
953,4,snow,21,4
954,6,wind,12,4
955,4,rain,17,73
956,4,,3,19
957,1,,0,12123
958,2,cloudy,14,1025
959,1,clear-night,19,585889
960,5,,18,1730
961,2,snow,18,85
962,3,wind,0,19
963,5,partly-cloudy-day,20,5031
964,5,clear-day,12,30681
965,2,wind,9,294
966,6,partly-cloudy-day,16,29
967,3,partly-cloudy-night,7,109
968,6,partly-cloudy-day,8,20
969,4,cloudy,20,79
970,1,,18,105424
971,5,fog,14,436
972,99,wind,17,1
973,4,clear-day,6,102
974,2,clear-day,9,5036
975,6,clear-day,16,35
976,5,cloudy,13,3418
977,2,snow,13,38
978,4,partly-cloudy-night,3,79
979,5,,11,1440
980,1,,6,11535
981,99,wind,21,1
982,6,wind,2,1
983,1,partly-cloudy-night,20,456760
984,2,snow,23,23
985,1,snow,9,19569
986,4,fog,10,11
987,1,clear-day,17,577280
988,2,wind,14,709
989,1,cloudy,4,56795
990,5,rain,12,2676
991,1,snow,8,18586
992,3,,9,41
993,1,rain,18,194367
994,3,rain,8,100
995,5,snow,20,233
996,3,partly-cloudy-day,9,141
997,2,,7,98
998,4,partly-cloudy-night,19,118
999,6,clear-day,14,38
1000,6,rain,18,4
1001,1,,8,34842
1002,1,,9,48926
1003,1,rain,0,131796
1004,2,wind,6,126
1005,1,rain,3,51609
1006,2,clear-day,11,2921
1007,2,fog,18,51
1008,4,fog,18,6
1009,6,clear-day,8,28
1010,1,partly-cloudy-night,3,104405
1011,99,partly-cloudy-night,6,2
1012,1,partly-cloudy-day,17,884527
1013,1,clear-night,20,1156200
1014,2,rain,1,144
1015,5,partly-cloudy-day,13,12460
