,weekofday,hour,icon,count
679,4,20,clear-night,202648
680,0,19,cloudy,40662
681,6,17,snow,8399
682,0,4,wind,446
683,0,5,snow,601
684,4,19,rain,35494
685,0,15,wind,24884
686,2,0,rain,19099
687,0,1,cloudy,11423
688,5,0,clear-night,428337
689,0,21,clear-night,215854
690,1,12,rain,20518
691,0,17,partly-cloudy-day,108740
692,6,19,wind,23992
693,3,5,fog,1144
694,0,10,,5141
695,2,19,,29852
696,0,21,fog,2199
697,6,23,partly-cloudy-night,59989
698,3,8,cloudy,24337
699,5,8,cloudy,15505
700,0,5,cloudy,5334
701,6,10,snow,664
702,0,18,fog,6453
703,3,13,clear-day,120351
704,0,3,clear-night,54313
705,6,23,clear-night,145795
706,4,20,cloudy,47220
707,3,16,wind,28828
708,4,0,rain,12809
709,4,19,partly-cloudy-night,61221
710,1,11,snow,1883
711,3,0,rain,16494
712,0,11,,4638
713,3,17,snow,2245
714,4,20,partly-cloudy-night,84703
715,3,21,rain,22522
716,5,16,wind,26734
717,5,10,partly-cloudy-day,45154
718,5,18,snow,5768
719,2,14,wind,16690
720,0,15,,5758
721,5,20,clear-night,218580
722,1,16,,11876
723,5,7,snow,153
724,4,14,rain,12241
725,4,4,rain,4926
726,4,6,fog,2202
727,2,10,cloudy,16608
728,2,12,partly-cloudy-day,33367
729,1,23,rain,22234
730,4,14,partly-cloudy-day,99639
731,0,14,rain,14203
732,5,21,wind,12692
733,4,7,cloudy,18287
734,6,19,cloudy,28360
735,0,12,rain,19303
736,1,17,wind,34343
737,4,20,fog,1915
738,1,15,snow,736
739,3,6,partly-cloudy-day,4272
740,1,10,,7991
741,1,23,clear-night,126500
742,6,11,wind,18014
743,2,1,partly-cloudy-night,16485
744,4,4,partly-cloudy-night,14483
745,6,23,snow,6116
746,4,3,snow,848
747,0,10,rain,18172
748,5,16,rain,26176
749,2,21,snow,2874
750,3,20,,2148
751,3,17,rain,14239
752,4,15,partly-cloudy-day,60185
753,2,19,fog,7185
754,3,21,,2452
755,2,18,clear-day,140463
756,6,20,fog,1059
757,1,3,,354
758,2,14,rain,24374
759,3,15,wind,37014
760,4,3,wind,2007
761,0,16,cloudy,23768
762,3,13,wind,15654
763,2,6,clear-day,19434
764,6,7,,3004
765,0,13,fog,1684
766,3,12,clear-day,190643
767,3,23,wind,15653
768,4,5,fog,439
769,6,23,,23016
770,5,18,partly-cloudy-night,7633
771,3,20,clear-day,21167
772,4,19,clear-day,185458
773,6,18,clear-day,156806
774,0,14,cloudy,15053
775,0,2,clear-night,53735
776,3,22,cloudy,23965
777,5,16,snow,957
778,1,14,rain,23576
779,3,14,wind,21317
780,2,1,fog,1306
781,4,12,clear-day,177508
782,3,22,,2475
783,1,8,cloudy,23719
784,5,19,partly-cloudy-night,83046
785,6,16,cloudy,21666
786,6,1,cloudy,34554
787,4,12,partly-cloudy-day,32354
788,4,5,rain,4213
789,4,1,fog,4263
790,1,23,fog,2347
791,6,11,clear-day,108691
792,3,19,cloudy,53883
793,1,23,,11654
794,4,23,rain,22713
795,5,3,partly-cloudy-night,27999
796,2,18,partly-cloudy-night,14502
797,1,14,,8841
798,4,10,,2187
799,5,4,cloudy,11450
800,3,4,wind,707
801,0,11,rain,20911
802,5,16,fog,5989
803,3,21,partly-cloudy-night,22010
804,5,9,rain,16590
805,5,4,snow,2442
806,0,11,fog,1757
807,3,18,wind,43629
808,0,13,partly-cloudy-day,64167
809,6,18,fog,1833
810,2,8,rain,20711
811,0,3,snow,1319
812,1,0,fog,1366
813,6,20,clear-night,155355
814,0,23,clear-night,102503
815,5,8,clear-day,77148
816,5,14,fog,912
817,5,22,snow,751
818,1,22,fog,4465
819,6,6,fog,1110
820,6,0,rain,36288
821,0,0,wind,11903
822,1,20,wind,19519
823,0,21,partly-cloudy-night,18404
824,0,8,rain,23219
825,4,7,clear-day,91632
826,2,4,partly-cloudy-night,5747
827,1,6,wind,2291
828,3,21,snow,617
829,2,22,rain,35926
830,1,2,rain,4928
831,0,9,wind,3970
832,3,7,clear-day,95704
833,2,22,clear-night,172237
834,5,2,clear-night,189601
835,3,23,partly-cloudy-night,67859
836,2,11,clear-day,97878
837,5,4,partly-cloudy-night,31403
838,6,7,fog,562
839,0,20,partly-cloudy-night,67771
840,5,1,clear-night,319315
841,0,22,wind,12892
842,5,22,wind,15917
843,2,7,snow,549
844,2,20,,26112
845,3,18,snow,2462
846,6,2,,13842
847,6,4,clear-night,134355
848,0,11,cloudy,15729
849,3,8,clear-day,158516
850,3,11,partly-cloudy-day,60655
851,0,16,rain,15040
852,0,0,rain,13826
853,1,16,rain,28863
854,5,2,fog,4980
855,0,16,fog,7690
856,1,3,rain,3874
857,4,17,clear-day,119738
858,0,16,snow,7794
859,1,9,partly-cloudy-day,23758
860,6,10,rain,7741
861,2,7,fog,5060
862,4,12,wind,11833
863,1,18,wind,25434
864,1,12,snow,1802
865,5,12,wind,14329
866,0,7,rain,10862
867,4,8,snow,4744
868,5,22,clear-night,307746
869,3,17,clear-day,63801
870,1,22,cloudy,12116
871,4,9,snow,8640
872,2,22,fog,4279
873,0,18,rain,16356
874,6,6,partly-cloudy-night,8465
875,5,23,clear-night,292006
876,0,2,wind,3273
877,1,5,fog,351
878,5,17,,25202
879,2,0,fog,1775
880,3,14,partly-cloudy-day,106584
881,4,13,cloudy,14560
882,2,0,partly-cloudy-night,8440
883,1,12,,7460
884,1,17,clear-night,51030
885,3,22,fog,796
886,6,12,rain,9427
887,6,19,rain,15298
888,3,18,partly-cloudy-day,37780
889,1,12,fog,1665
890,6,1,fog,3988
891,0,14,partly-cloudy-day,87152
892,4,10,wind,15229
893,6,23,wind,14642
894,3,13,cloudy,24078
895,5,0,rain,25116
896,3,16,clear-day,162812
897,4,15,clear-day,235920
898,3,15,rain,20443
899,6,10,wind,10413
900,0,4,cloudy,4572
901,6,7,snow,655
902,5,22,fog,8630
903,1,7,,1738
904,4,11,,2056
905,1,10,rain,27227
906,4,2,clear-night,74606
907,3,12,rain,17526
908,6,14,wind,26586
909,4,11,clear-day,121886
910,2,2,wind,2675
911,4,3,rain,5685
912,6,20,,16207
913,2,16,wind,25528
914,1,4,wind,1715
915,4,15,rain,17201
916,2,9,fog,7275
917,0,12,,4696
918,4,17,cloudy,45078
919,2,2,cloudy,6554
920,1,13,partly-cloudy-day,59551
921,5,11,snow,950
922,5,19,snow,3424
923,0,19,snow,2554
924,3,13,fog,80
925,4,10,partly-cloudy-day,46711
926,2,7,cloudy,15320
927,6,13,partly-cloudy-day,83323
928,4,8,fog,5843
929,0,21,wind,12097
930,5,5,rain,9222
931,2,15,partly-cloudy-day,48867
932,0,21,,5475
933,3,16,rain,18409
934,6,20,cloudy,11607
935,2,1,clear-night,76357
936,4,1,clear-night,123723
937,0,13,rain,11950
938,3,19,wind,36002
939,5,7,partly-cloudy-day,13151
940,6,22,fog,4709
941,3,7,fog,6608
942,0,15,snow,7614
943,4,6,partly-cloudy-night,6437
944,3,5,clear-night,32778
945,3,7,clear-night,33197
946,6,4,partly-cloudy-night,60246
947,2,11,rain,16082
948,2,22,wind,13378
949,3,1,wind,4189
950,2,1,cloudy,10624
951,3,9,snow,2994
952,4,6,partly-cloudy-day,1312
953,0,23,,4383
954,6,13,fog,2693
955,2,18,wind,36588
956,1,18,rain,27659
957,3,5,wind,1038
958,1,19,snow,474
959,1,20,clear-day,18152
960,5,6,partly-cloudy-night,6451
961,2,12,,15453
962,6,5,snow,820
963,3,20,rain,10876
964,2,20,partly-cloudy-night,34886
965,6,5,rain,5573
966,6,9,fog,1018
967,5,14,snow,1721
968,5,12,partly-cloudy-day,34889
969,4,17,partly-cloudy-night,21097
970,5,6,snow,222
971,4,14,cloudy,36188
972,0,1,clear-night,94435
973,2,3,rain,2936
974,0,17,partly-cloudy-night,8544
975,2,1,,2575
976,1,8,rain,30010
977,2,12,wind,11367
978,3,5,partly-cloudy-night,10757
979,3,21,wind,17797
980,0,12,partly-cloudy-day,29144
981,5,20,clear-day,37839
982,2,18,partly-cloudy-day,39410
983,4,18,,9033
